Predator_overlap,Group1,Group2,Prey_overlap,Node1,Node2,Group,Nodes
0.101216048002243,Arrowtooth_S,Pollock_L,0.851097106933594,13,19,Arrowtooth_S:Pollock_L,13:19
0.101918533444405,Sandlance,Zoop_omniv,0.338721334934235,33,44,Sandlance:Zoop_omniv,33:44
0.10717037320137,Rockfish,Capelin,0.463312387466431,20,28,Rockfish:Capelin,20:28
0.108151935040951,Eulachon,Pollock_S,0.293753653764725,25,30,Eulachon:Pollock_S,25:30
0.115755014121532,Herring_S,Zoop_omniv,0.344790756702423,40,44,Herring_S:Zoop_omniv,40:44
0.125201001763344,Capelin,Zoop_omniv,0.288754343986511,28,44,Capelin:Zoop_omniv,28:44
0.133903309702873,Octopods,Deep_demersals,0.69958913326263406,16,18,Octopods:Deep_demersals,16:18
0.137090533971786,Pacific_cod,Pollock_L,0.567852735519409,11,19,Pacific_cod:Pollock_L,11:19
0.139135599136353,Pacific_cod,Nshore_demersal,0.342844396829605,11,23,Pacific_cod:Nshore_demersal,11:23
0.141355916857719,Cucumbers,Urchins,0.206640496850014,37,38,Cucumbers:Urchins,37:38
0.14479173719883,Mussels,Shallow_infauna_clams,0.996370017528534,49,51,Mussels:Shallow_infauna_clams,49:51
0.149345800280571,Pacific_cod,Rockfish,0.562105178833008,11,20,Pacific_cod:Rockfish,11:20
0.15680667757988,Herring_L,Zoopl_near_onmiv,0.281608998775482,29,43,Herring_L:Zoopl_near_onmiv,29:43
0.159181952476501,Pollock_L,Salmon_fry_S,0.505569219589233,19,22,Pollock_L:Salmon_fry_S,19:22
0.167819708585739,Urchins,Mussels,0.161454424262047,38,49,Urchins:Mussels,38:49
0.173151895403862,Jellies,Zoopl_near_onmiv,0.319204121828079,41,43,Jellies:Zoopl_near_onmiv,41:43
0.182275101542473,Nshore_demersal,Sandlance,0.106966845691204,23,33,Nshore_demersal:Sandlance,23:33
0.183748692274094,Arrowtooth_L,Octopods,0.140656739473343,9,16,Arrowtooth_L:Octopods,9:16
0.186252444982529,Halibut,Octopods,0.271417319774628,5,16,Halibut:Octopods,5:16
0.189897045493126,Rockfish,Herring_L,0.415770322084427,20,29,Rockfish:Herring_L,20:29
0.194840744137764,Barnacles,Zoopl_near_herb,0.501111030578613,50,52,Barnacles:Zoopl_near_herb,50:52
0.195412427186966,Salmon_fry_S,Zoopl_near_onmiv,0.245027080178261,22,43,Salmon_fry_S:Zoopl_near_onmiv,22:43
0.204128563404083,Pollock_L,Eulachon,0.745935082435608,19,25,Pollock_L:Eulachon,19:25
0.212132930755615,Salmon_fry_S,Capelin,0.923089206218719,22,28,Salmon_fry_S:Capelin,22:28
0.214329347014427,Eulachon,Herring_L,0.460920691490173,25,29,Eulachon:Herring_L,25:29
0.230865806341171,Herring_L,Sandlance,0.959734559059143,29,33,Herring_L:Sandlance,29:33
0.238121598958969,Arrowtooth_L,Pacific_cod,0.287739813327789,9,11,Arrowtooth_L:Pacific_cod,9:11
0.238256573677063,Salmon_fry_S,Sandlance,0.864898324012756,22,33,Salmon_fry_S:Sandlance,22:33
0.240760266780853,Helmet_crab,Snail_crust_S,0.913140475749969,39,48,Helmet_crab:Snail_crust_S,39:48
0.24409531056881,Capelin,Zoopl_near_onmiv,0.269286274909973,28,43,Capelin:Zoopl_near_onmiv,28:43
0.244999021291733,Halibut,Pacific_cod,0.511615514755249,5,11,Halibut:Pacific_cod,5:11
0.250696539878845,Nshore_demersal,Leather_stars,0.959207236766815,23,36,Nshore_demersal:Leather_stars,23:36
0.251524478197098,Pollock_S,Herring_S,0.963114261627197,30,40,Pollock_S:Herring_S,30:40
0.255139797925949,Nshore_demersal,Helmet_crab,0.14621490240097,23,39,Nshore_demersal:Helmet_crab,23:39
0.260931879281998,Herring_S,Zoopl_near_onmiv,0.322564989328384,40,43,Herring_S:Zoopl_near_onmiv,40:43
0.264938026666641,Nshore_demersal,Pisaster_Evasterias,0.465554594993591,23,35,Nshore_demersal:Pisaster_Evasterias,23:35
0.265398949384689,Deep_demersals,Pollock_L,0.362734854221344,18,19,Deep_demersals:Pollock_L,18:19
0.281789064407349,Snail_crust_S,Barnacles,0.864525556564331,48,50,Snail_crust_S:Barnacles,48:50
0.298958361148834,Herring_L,Herring_S,0.873539090156555,29,40,Herring_L:Herring_S,29:40
0.30025526881218,Salmon_fry_S,Herring_L,0.944444954395294,22,29,Salmon_fry_S:Herring_L,22:29
0.301541298627853,Sandlance,Zoopl_near_onmiv,0.316272556781769,33,43,Sandlance:Zoopl_near_onmiv,33:43
0.309946149587631,Mussels,Zoopl_near_herb,0.120388224720955,49,52,Mussels:Zoopl_near_herb,49:52
0.313532173633575,Pollock_L,Herring_S,0.209945797920227,19,40,Pollock_L:Herring_S,19:40
0.325989693403244,Nshore_demersal,Sunflower_stars,0.232809901237488,23,34,Nshore_demersal:Sunflower_stars,23:34
0.335750102996826,Arrowtooth_S,Nshore_demersal,0.113465182483196,13,23,Arrowtooth_S:Nshore_demersal,13:23
0.341915011405945,Salmon_fry_S,Eulachon,0.491496562957764,22,25,Salmon_fry_S:Eulachon,22:25
0.354365348815918,Salmon_fry_S,Nshore_demersal,0.319619655609131,22,23,Salmon_fry_S:Nshore_demersal,22:23
