Data,1: Transient_orca,2: Salmon_sharks,3: Resident_orca,4: Sleeper_sharks,5: Halibut,6: Pinnipeds,7: Porpoise,8: Lingcod,9: Arrowtooth_L,10: Salmon_L,11: Pacific_cod,12: Sablefish,13: Arrowtooth_S,14: Spiny_dogfish,15: Avian_raptors,16: Octopods,17: Seabirds,18: Deep_demersals,19: Pollock_L,20: Rockfish,21: Baleen_whales,22: Salmon_fry_S,23: Nshore_demersal,24: Squids,25: Eulachon,26: Sea_otters,27: Deep _epibenthos,28: Capelin,29: Herring_L,30: Pollock_S,31: Invert_eat_seaduck,32: Oystercatchers,33: Sandlance,34: Sunflower_stars,35: Pisaster_Evasterias,36: Leather_stars,37: Cucumbers,38: Urchins,39: Helmet_crab,40: Herring_S,41: Jellies,42: Deep_infauna_S,43: Zoopl_near_onmiv,44: Zoop_omniv,45: Shallow_infauna_S,46: Meiofauna,47: Deep_infauna_L,48: Snail_crust_S,49: Mussels,50: Barnacles,51: Shallow_infauna_clams,52: Zoopl_near_herb,53: Zoopl_herb,54: Phyto_near,55: Phyto_off,56: Fucus,57: Subtidal_kelps,58: Macroalgae_other,59: Eelgrass,60: Nekton_falls,61: Inshore_detritus,62: Offshore_detritus
1989,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1989.083333,0.999998152,0.998363316,1.000020504,0.999987781,0.999999583,0.997864246,0.998148739,0.999558568,1.001515031,1.018503428,0.999751568,0.999929845,0.999421179,0.999780118,0.999174118,0.963068545,0.993864596,1.000599861,1.001300573,0.999899268,0.999918103,1.006025314,0.996194065,0.992110312,1.000805616,0.998736441,1.0006181,1.002037525,0.838965058,1.008129835,0.996653616,0.999923527,0.957201183,0.975427628,0.949789882,0.999771714,1.000192523,0.992158055,0.992920578,1.004393339,1.003598928,1.00138247,1.011810422,1.01763165,1.004346013,1.001395345,1.0002985,0.998029649,0.974680305,1.001855969,0.996838391,1.020909309,1.02137959,1.032090187,1.022856474,1.000003099,1.000013232,1.000033379,1,1.00009346,1.009556651,1.012650251
1989.166667,0.999991596,0.996858418,1.000095606,0.999958575,1.00005734,0.995702267,0.996199012,0.998774648,1.001927495,1.037293077,0.999171972,0.999889314,1.000641704,0.999409437,0.998419285,0.927497089,0.987767935,1.001942039,1.007787943,0.999434292,0.999878168,1.031175494,0.992247105,0.994074762,1.005551934,0.99742043,1.003859401,1.014788389,0.714193106,1.040043831,0.993128181,0.999759614,0.925545275,0.951538324,0.908980548,0.999414921,1.001473665,0.984804094,0.988634288,1.021854758,1.023436785,1.00964427,1.060554624,1.080934405,1.022071958,1.009989977,1.002102613,1.000086784,0.957243502,1.011562824,0.995153606,1.096593142,1.08910799,1.123231292,1.073295593,1.000007987,1.000019789,1.000077486,0.999999762,1.000268579,1.042502284,1.059049249
1989.25,0.999992311,0.995477319,1.000246167,0.99991107,1.000208259,0.993535399,0.994158387,0.99737519,0.998544753,1.054699421,0.998419166,0.999730945,0.995101094,0.998687565,0.99770546,0.89308548,0.981641531,1.003824711,0.999134839,0.996458888,0.999710262,0.995310545,0.988223851,0.989906609,1.008785844,0.995996416,1.006340146,1.020026803,0.60079354,0.99617213,0.989431918,0.999464095,0.89367193,0.927726388,0.874591529,0.998571098,1.002549767,0.977564514,0.984502673,1.004489422,1.022624135,1.013822556,0.993556499,0.955117345,0.998429298,1.014832377,1.003311396,0.998566329,0.937143087,1.006032348,0.992632389,0.951782227,0.921178579,0.823268592,0.808982491,1.000023246,1.000063062,1.000226259,0.999999702,1.000598192,0.97615844,0.965794504
1989.333333,1.000005722,0.99418509,1.000479341,0.999804199,0.999898076,0.991257966,0.991717696,0.99384594,0.993475258,1.070659876,0.996195734,0.998189211,0.986542642,0.997201383,0.996901035,0.856957316,0.97484076,1.004488826,0.988942802,0.987988472,0.998988807,0.961957455,0.982649028,0.950430214,1.000039816,0.994238138,0.99957782,0.980027556,0.506341934,0.958380103,0.985217392,0.998474538,0.839970231,0.900972724,0.840282977,0.993900537,0.999246299,0.969572008,0.970427334,0.989561319,0.966662467,0.997569799,0.920917034,0.877031326,0.975925982,0.989614964,1.000223279,0.985323548,0.903654277,0.987730026,0.986837685,0.912163436,0.924567819,0.91918391,0.973643363,1.000117302,1.000687242,1.00136292,1.000000358,1.001889229,0.960956037,0.915793121
1989.416667,1.000083685,0.993061662,1.00080657,0.999722242,0.9998824,0.989044547,0.989386261,0.99082458,0.992034554,1.086708903,0.994790733,0.996751308,0.986289382,0.995433748,0.996160507,0.824286401,0.968424261,1.005772233,0.99166882,0.97663182,0.998358548,0.987112582,0.977847278,0.938849926,0.995546222,0.992574573,0.996062219,0.971098661,0.436662138,0.988408267,0.981145263,0.997766554,0.806135476,0.877185941,0.815835595,0.990822911,0.997525156,0.962084115,0.9609164,0.999732077,0.960392535,0.988883376,0.954316199,0.974149883,0.979265988,0.979944825,0.998277843,0.979880512,0.880798936,0.985084534,0.982855976,0.984183431,1.037338853,1.070983529,1.089905024,1.000159264,1.000918508,1.001840115,1.000000596,1.002451658,1.000120044,0.997033775
1989.5,1.000229716,0.992102683,1.001236558,0.999697089,1.000335813,0.986912012,0.987268209,0.988218307,0.993797719,1.103958845,0.994529605,0.996088207,0.99315685,0.993651152,0.995544851,0.795238137,0.962640822,1.008250237,1.004181862,0.965922952,0.997786105,1.050411105,0.974242866,0.958919823,0.999269247,0.991045833,1.001847506,0.994856656,0.384265244,1.063391328,0.977294147,0.99734658,0.795232236,0.856264234,0.798742831,0.989581943,0.999382555,0.955641389,0.960523069,1.031586051,1.002562165,1.000563145,1.063303471,1.124423862,1.00827539,0.993670404,1.000691056,0.987388968,0.874410212,1.000098109,0.982777357,1.143145323,1.17397666,1.224822402,1.138292074,1.000146508,1.000673413,1.001585364,1.000000358,1.002318501,1.069685221,1.11000073
1989.583333,1.0004251,0.991218567,1.001774788,0.999691725,1.000923991,0.98486197,0.985168695,0.985874951,0.99580586,1.122298121,0.994420588,0.996006966,1.000331759,0.991930902,0.995050728,0.767468512,0.957249105,1.011402965,1.016421199,0.958081603,0.997250378,1.104632139,0.971317112,0.992629111,1.012315035,0.989439964,1.014949799,1.044504166,0.339270234,1.123057127,0.973494828,0.997136891,0.794195473,0.835814536,0.784016013,0.989255071,1.005050778,0.94994992,0.967162132,1.066125274,1.077682853,1.031670094,1.185257554,1.213769794,1.050564647,1.029162407,1.007647395,1.003650784,0.878779829,1.030006289,0.986201167,1.261890769,1.214683294,1.236738801,1.078726649,1.000130653,1.000428438,1.001311064,0.999999404,1.00220871,1.114230275,1.16501987
1989.666667,1.00065136,0.990330517,1.002419829,0.999645293,1.001203775,0.982761919,0.982839584,0.982720375,0.994551837,1.140403509,0.993519187,0.995707989,1.000700951,0.990077794,0.994587481,0.738981903,0.951679707,1.013578534,1.01802814,0.9523803,0.996533513,1.109054804,0.967955172,1.007537484,1.026700497,0.987439454,1.026882291,1.076064229,0.296614826,1.122725964,0.969445527,0.996613443,0.781542003,0.813063383,0.766571879,0.986841917,1.010516405,0.94414103,0.97208333,1.084199548,1.112490535,1.063295841,1.196707487,1.144045353,1.067123652,1.061328292,1.015298128,1.015861511,0.878154755,1.049860954,0.989843309,1.246296525,1.137680531,1.106713533,0.95788151,1.000181556,1.000668168,1.001873255,0.999998569,1.002964258,1.101340294,1.119295001
1989.75,1.000918508,0.989397109,1.00316,0.999518991,1.000994086,0.980575502,0.980186522,0.97812444,0.992399454,1.158337355,0.991722405,0.994648874,0.999127209,0.987995148,0.994098604,0.709781051,0.945709765,1.013923645,1.02069211,0.948082864,0.995580435,1.120414019,0.96369952,0.999569833,1.039271116,0.984749377,1.03419733,1.078071594,0.261015326,1.130078197,0.965051711,0.9955948,0.755496025,0.787698627,0.746081233,0.980457306,1.013567567,0.937877715,0.97132194,1.113582611,1.111242652,1.087855816,1.209027529,1.123015404,1.086485386,1.07239759,1.021867394,1.021900058,0.869942248,1.063520908,0.99292928,1.314746976,1.18181777,1.220166206,1.04898262,1.000315189,1.001446962,1.00343287,0.999997854,1.004698873,1.12613833,1.119916677
